"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AL,01,State House District 1,"=""01001""","4,088",36,"4,088","9,847,210",870,"640,663","2,319","2,810,120",180,156,130,"3,944","15,911,407",138,"110,439","3,571",0,"1,462",998,"2,942",114,"2,461","1,292",0,998,378,769,976,561,387,307,277,190,185,0
AL,01,State House District 2,"=""01002""","3,670",14,"3,670","8,983,804",887,"686,082","2,134","2,671,945",116,106,82,"3,514","14,697,802",109,"117,591","3,207",4,"1,301",964,"2,618",57,"2,386","1,068",0,"1,043",291,575,839,491,356,268,243,203,218,0
AL,01,State House District 3,"=""01003""","4,753",2,"4,753","11,868,459","1,152","826,467","2,787","3,288,605",255,201,134,"4,631","19,253,960",77,"90,590","4,280",0,"2,191","1,233","3,422",78,"2,883","1,563",0,"1,098",374,862,991,661,528,444,389,242,189,0
AL,01,State House District 4,"=""01004""","4,231",48,"4,231","11,071,860",989,"702,375","2,595","3,261,945",229,238,131,"4,125","17,926,340",93,"86,141","3,820",40,"2,098","1,480","2,607",105,"2,530","1,397",0,970,299,679,934,638,462,381,304,221,194,0
AL,01,State House District 5,"=""01005""","4,142",27,"4,142","11,067,207","1,026","760,698","2,589","3,373,227",207,188,121,"4,022","17,872,049",111,"98,309","3,719",19,"1,925","1,562","2,466",68,"2,440","1,445",0,"1,079",268,616,937,601,419,379,307,248,222,0
AL,01,State House District 6,"=""01006""","3,809",29,"3,809","9,446,665",918,"685,803","2,284","2,908,213",265,250,153,"3,685","15,550,487",99,"113,738","3,422",7,"1,746","1,765","1,893",122,"2,135","1,406",0,957,302,606,887,490,369,348,296,243,203,0
AL,01,State House District 7,"=""01007""","4,306",1,"4,306","11,325,895","1,039","759,226","2,696","3,358,515",91,111,51,"4,166","18,363,204",102,"104,176","3,818",1,"2,010","1,021","3,222",2,"2,781","1,310",0,"1,219",286,681,970,661,459,364,315,235,218,0
AL,01,State House District 8,"=""01008""","4,616",76,"4,616","12,345,604","1,007","689,965","2,852","3,573,629",242,251,129,"4,505","19,676,455",107,"96,790","4,146",65,"2,409","1,495","2,955",140,"2,831","1,487",0,"1,040",326,788,"1,060",726,524,415,308,219,174,0
AL,01,State House District 9,"=""01009""","4,034",0,"4,034","9,896,125","1,048","805,078","2,381","3,039,818",138,131,103,"3,863","16,512,092",160,"160,396","3,567",0,"1,861","1,417","2,558",24,"2,303","1,434",0,"1,137",287,634,878,577,400,352,324,249,301,0
AL,01,State House District 10,"=""01010""","3,289",40,"3,289","7,691,312",751,"554,032","1,884","2,325,257",253,263,193,"3,183","12,921,210",86,"104,331","2,950",17,"1,427","1,726","1,384",112,"1,716","1,265",0,706,286,572,744,417,323,288,250,183,139,0
AL,01,State House District 11,"=""01011""","4,292",9,"4,292","10,893,628","1,126","864,794","2,625","3,434,156",107,109,74,"4,115","18,110,870",117,"151,679","3,756",12,"1,847","1,370","2,866",13,"2,399","1,616",0,"1,299",300,663,891,619,428,338,318,266,252,0
AL,01,State House District 12,"=""01012""","4,068",19,"4,068","9,721,157","1,116","879,368","2,408","3,093,993",172,116,129,"3,885","16,737,440",142,"159,884","3,542",41,"1,821","1,521","2,524",0,"2,049","1,646",0,"1,052",329,623,824,494,379,329,295,246,265,0
AL,01,State House District 13,"=""01013""","4,089",21,"4,089","10,776,203",998,"733,171","2,585","3,182,278",92,97,37,"4,003","17,753,313",32,"56,062","3,699",0,"2,273","1,421","2,645",0,"2,184","1,656",0,907,300,656,919,584,434,333,286,193,179,0
AL,01,State House District 14,"=""01014""","3,917",1,"3,917","10,204,138","1,022","778,444","2,422","2,976,362",17,21,5,"3,813","17,030,372",6,"78,648","3,504",0,"1,995","1,259","2,632",0,"2,213","1,475",0,922,183,595,805,520,393,311,304,140,138,0
AL,01,State House District 15,"=""01015""","3,113",25,"3,113","7,814,304",807,"596,208","1,891","2,378,967",310,267,174,"3,013","13,392,089",89,"85,731","2,812",0,"1,518","1,273","1,776",48,"1,989",972,0,811,188,447,612,454,365,320,305,230,168,0
