"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AL,01,State Senate District 1,"=""01001""","12,296",59,"12,296","31,598,202","2,981","2,229,455","7,423","9,483,605",572,522,336,"11,859","51,249,990",351,"346,598","10,932",35,"5,072","4,032","7,890",272,"7,528","4,017",0,"3,329",906,"1,897","2,809","1,755","1,259","1,062",889,714,665,0
AL,01,State Senate District 2,"=""01002""","10,719",133,"10,719","25,892,776","2,373","1,746,941","6,261","7,757,566",828,843,583,"10,425","42,850,979",282,"296,572","9,705",68,"4,993","5,255","4,948",475,"5,786","4,099",0,"2,377",889,"1,871","2,541","1,395","1,080",935,806,601,462,0
AL,01,State Senate District 3,"=""01003""","13,033",125,"13,033","33,626,371","3,067","2,205,137","7,938","9,966,081",639,659,376,"12,660","54,720,756",310,"332,141","11,693",106,"6,463","4,547","8,094",276,"7,780","4,355",0,"3,140",888,"2,125","2,927","1,966","1,391","1,140",923,661,651,0
AL,01,State Senate District 4,"=""01004""","12,668",21,"12,668","31,585,843","3,276","2,485,806","7,642","9,699,481",396,313,291,"12,151","52,916,495",381,"424,478","11,114",53,"5,593","3,979","8,575",6,"7,292","4,487",0,"3,497",930,"1,958","2,680","1,759","1,253","1,014",919,703,702,0
AL,01,State Senate District 5,"=""01005""","11,656",57,"11,656","30,342,253","2,963","2,245,075","7,212","8,992,711",294,224,116,"11,355","50,507,914",119,"217,762","10,374",0,"6,010","3,935","7,601",22,"6,857","4,125",0,"2,733",696,"1,799","2,458","1,604","1,180","1,005",837,562,514,0
AL,01,State Senate District 6,"=""01006""","13,672",34,"13,672","34,847,329","3,294","2,372,800","8,239","10,161,584",513,409,288,"13,285","56,886,501",266,"304,131","12,122",0,"6,119","3,547","9,856",174,"8,078","4,674",0,"3,364","1,059","2,315","2,990","1,912","1,399","1,177","1,045",689,537,0
AL,01,State Senate District 7,"=""01007""","12,880",173,"12,880","33,000,578","2,526","1,762,086","7,694","9,432,859",757,739,525,"12,550","52,339,522",308,"315,339","11,625",77,"6,503","5,864","6,294",684,"6,687","5,158",0,"2,816","1,078","2,401","3,258","1,897","1,314","1,054",770,554,417,0
AL,01,State Senate District 8,"=""01008""","12,772",30,"12,772","32,167,920","3,384","2,519,894","7,722","9,849,271",345,235,281,"12,271","53,224,285",293,"425,638","11,217",0,"5,790","4,426","8,080",100,"6,625","5,122",0,"3,298",956,"1,932","2,555","1,849","1,449","1,103",856,648,654,0
AL,01,State Senate District 9,"=""01009""","14,026",123,"14,026","37,874,201","3,382","2,450,481","8,907","11,738,996",505,497,248,"13,521","61,194,567",432,"429,700","12,341",0,"6,146","4,169","9,441",317,"7,687","5,482",0,"3,975","1,033","2,158","3,020","2,128","1,664","1,260",978,749,740,0
AL,01,State Senate District 10,"=""01010""","14,447",85,"14,447","38,804,511","3,299","2,333,666","8,890","11,338,242",593,498,244,"13,981","61,696,300",404,"401,071","12,839",0,"7,437","3,928","10,062",369,"8,310","5,268",0,"3,959","1,051","2,226","3,382","2,273","1,654","1,211",976,702,661,0
AL,01,State Senate District 11,"=""01011""","12,617",62,"12,617","32,543,705","3,342","2,486,728","7,837","9,669,889",752,559,374,"12,299","54,920,960",215,"274,134","11,422",28,"6,509","5,332","7,172",14,"6,905","4,931",0,"2,703",848,"1,817","2,652","1,859","1,347","1,199","1,010",830,670,0
AL,01,State Senate District 12,"=""01012""","13,917",148,"13,917","35,636,750","3,428","2,532,361","8,520","10,496,088",680,575,330,"13,593","59,829,993",235,"261,822","12,604",0,"7,034","5,561","7,852",336,"7,588","5,320",0,"2,765","1,064","2,228","3,177","1,941","1,500","1,181","1,057",787,691,0
AL,01,State Senate District 13,"=""01013""","16,577",37,"16,577","46,404,249","3,796","2,725,720","10,406","13,311,443",955,"1,180",316,"16,244","77,064,477",227,"293,590","15,240",0,"9,661","4,142","12,217",121,"10,092","5,769",0,"4,518",828,"2,269","3,637","2,859","1,929","1,563","1,270",880,685,0
AL,01,State Senate District 14,"=""01014""","10,804",21,"10,804","28,520,656","2,799","2,150,481","6,743","8,679,695",681,515,374,"10,489","46,837,085",222,"316,311","9,558",0,"5,612","4,422","6,205",65,"6,081","4,088",0,"2,668",601,"1,512","2,347","1,629","1,098",981,859,689,576,0
AL,01,State Senate District 15,"=""01015""","8,225",40,"8,225","20,233,191","2,085","1,539,619","4,798","5,940,719",543,472,375,"7,893","33,660,948",249,"287,317","7,183",34,"3,804","3,641","4,433",78,"4,755","2,940",0,"2,013",603,"1,248","1,761","1,117",851,802,685,477,373,0
AL,01,State Senate District 16,"=""01016""","6,930",76,"6,930","15,747,086","1,714","1,280,966","3,846","4,927,773",795,699,532,"6,603","26,816,251",319,"306,639","5,996",0,"2,916","3,364","3,374",156,"4,171","2,287",0,"1,950",561,"1,090","1,403",871,712,760,665,482,330,0
AL,01,State Senate District 17,"=""01017""","10,713",51,"10,713","27,045,674","2,919","2,296,640","6,598","8,521,559",612,507,367,"10,371","46,094,913",245,"326,385","9,623",4,"5,041","4,311","6,226",43,"5,965","4,041",0,"2,704",704,"1,565","2,156","1,479","1,024","1,000",908,761,695,0
AL,01,State Senate District 18,"=""01018""","17,981",372,"17,981","53,004,486","2,723","1,725,028","10,616","13,453,839","1,081","1,116",514,"17,699","79,849,031",239,"227,637","16,710",125,"12,076","5,774","11,568",578,"10,769","6,275",0,"3,876","1,088","3,212","5,145","3,468","1,782","1,341",973,564,174,0
AL,01,State Senate District 19,"=""01019""","19,312",268,"19,312","58,146,900","3,864","2,547,650","12,051","15,262,506","1,387","1,425",556,"19,079","90,773,210",130,"177,425","18,185",138,"12,920","5,851","12,963",377,"12,060","6,569",0,"4,149",797,"2,912","4,892","3,722","2,255","1,757","1,394",889,431,0
AL,01,State Senate District 20,"=""01020""","20,112",344,"20,112","60,824,141","4,051","2,695,791","13,013","17,014,205","1,754","1,572",674,"19,848","96,077,715",232,"210,635","19,009",109,"13,120","7,051","12,412",569,"12,218","7,127",0,"4,590",807,"2,879","4,950","3,952","2,331","1,975","1,550",929,543,0
AL,01,State Senate District 21,"=""01021""","12,533",106,"12,533","33,827,685","2,987","2,151,395","7,692","9,680,336",621,650,288,"12,290","55,430,606",131,"208,256","11,372",95,"6,706","5,405","6,806",212,"7,176","4,602",0,"2,622",725,"1,792","2,833","1,989","1,357","1,112",917,602,496,0
AL,01,State Senate District 22,"=""01022""","14,963",92,"14,963","43,740,674","3,413","2,446,058","9,694","12,276,879",498,569,256,"14,655","68,020,475",155,"261,006","13,711",22,"8,313","6,296","8,362",40,"8,147","6,037",0,"3,768",663,"2,008","3,511","2,382","1,529","1,124",887,634,473,0
AL,01,State Senate District 23,"=""01023""","20,865",194,"20,865","67,386,668","3,936","2,550,691","13,350","16,756,055",738,"1,111",233,"20,625","100,752,416",89,"200,561","19,392",0,"13,934","7,066","13,619",29,"11,813","8,378",0,"3,840",586,"2,660","5,513","4,258","2,329","1,630","1,107",603,265,0
AL,01,State Senate District 24,"=""01024""","18,413",193,"18,413","55,055,340","3,620","2,395,751","11,467","14,053,710",749,"1,067",320,"18,178","85,298,895",98,"199,993","16,978",132,"11,176","8,176","9,848",251,"10,295","7,325",0,"3,547",745,"2,667","4,626","3,428","2,056","1,535","1,070",584,238,0
AL,01,State Senate District 25,"=""01025""","13,682",93,"13,682","37,584,012","3,190","2,265,715","8,527","10,724,854","1,151","1,009",546,"13,385","61,441,262",226,"251,677","12,572",0,"7,583","5,895","7,494",203,"8,126","4,839",0,"3,086",695,"1,877","3,124","2,148","1,569","1,316","1,053",697,481,0
AL,01,State Senate District 26,"=""01026""","20,506",195,"20,506","64,170,471","3,577","2,302,140","13,130","16,534,262","1,421","1,553",586,"20,288","95,987,245",185,"153,151","19,286",0,"13,167","7,842","12,033",517,"13,370","6,347",0,"4,543",932,"3,220","5,859","3,734","2,323","1,679","1,311",833,342,0
